id,showroom,category,product_type,badge,recommended,name_ja,name_en,name_vi,image,net_weight_or_size,material,shelf_life,storage,origin,maker_or_artisan,moq,price,description_ja,description_en,description_vi,usage_scene,allergy_or_notes,pdf_link
FB-001,Food & Beverage,Tea,Green Tea,新商品,no,茶の種子 緑茶(べにふうき茶葉),Cha no Tane Green Tea (Benifuuki Leaves),Bột trà xanh Cha no Tane (lá Benifuuki),assets/images/Cha-no-Tane-Green-Tea-Benifuuki-Leaves.jpg,75g,,240 days,Room temperature,Japan,,TBD,Quotation required,べにふうき茶葉を使用した日本産緑茶です。,Japanese green tea made with Benifuuki tea leaves.,Trà xanh Nhật Bản sử dụng lá trà Benifuuki.,Retail / gift / food service,Please confirm ingredients before order.,assets/pdf/food-catalog.pdf
FB-002,Food & Beverage,Confectionery,Frozen sweets,おすすめ,yes,クリーム大福 いちご,Cream Daifuku Strawberry,Daifuku kem dâu,assets/images/food-daifuku.svg,50g x 6,,365 days,Frozen,Japan,,TBD,Quotation required,柔らかい餅生地でクリームといちご風味の餡を包んだ冷凍和菓子です。,Frozen Japanese daifuku with soft mochi cream and strawberry filling.,Daifuku đông lạnh với vỏ mochi mềm nhân kem dâu.,Dessert / gift / retail,Milk and soy may be included.,assets/pdf/food-catalog.pdf
FB-003,Food & Beverage,Seasoning,Sauce,人気,no,職人醤油ソース,Artisan Soy Sauce,Sốt đậu nành thủ công,assets/images/food-sauce.svg,100ml,,5 months,Room temperature,Japan,,TBD,Quotation required,和食に合わせやすい調味ソースです。,Japanese-style artisan soy sauce suitable for various dishes.,Sốt đậu nành kiểu Nhật phù hợp nhiều món ăn.,Restaurant / retail / gift,Soybean and wheat.,assets/pdf/food-catalog.pdf
CR-001,Traditional Crafts,Ceramics,Cup,匠,yes,手作り陶器カップ,Handmade Ceramic Cup,Cốc gốm thủ công,assets/images/craft-cup.svg,W80 x H90 mm,Ceramic,,,Japan,Japanese artisan,TBD,Quotation required,日本の職人が制作した、温かみのある陶器カップです。,A warm handmade ceramic cup crafted by a Japanese artisan.,Cốc gốm thủ công mang vẻ đẹp ấm áp của nghề thủ công Nhật Bản.,Gift / lifestyle shop / interior,Handle with care.,assets/pdf/craft-catalog.pdf
CR-002,Traditional Crafts,Lighting,Lamp,おすすめ,yes,和紙ランプ,Japanese Washi Lamp,Đèn giấy washi Nhật Bản,assets/images/craft-lamp.svg,W180 x H280 mm,Washi paper / wood,,,Japan,Japanese artisan,TBD,Quotation required,和紙の柔らかな光を楽しめるインテリア照明です。,Interior lamp featuring the soft light and texture of Japanese washi paper.,Đèn nội thất sử dụng giấy washi với ánh sáng mềm mại.,Hotel / gift / interior,Electrical specifications should be confirmed by market.,assets/pdf/craft-catalog.pdf
CR-003,Traditional Crafts,Decoration,Vase,新商品,no,手作り花器,Handmade Flower Vase,Bình hoa thủ công,assets/images/craft-vase.svg,W120 x H220 mm,Ceramic,,,Japan,Japanese artisan,TBD,Quotation required,日本の美意識を感じられる手作り花器です。,A handmade flower vase with Japanese aesthetics.,Bình hoa thủ công thể hiện thẩm mỹ Nhật Bản.,Interior / gift / premium retail,Fragile item.,assets/pdf/craft-catalog.pdf
LG-001,Japanese Lifestyle Goods,Textile,Furoshiki,おすすめ,yes,風呂敷,Furoshiki Wrapping Cloth,Khăn gói furoshiki,assets/images/life-furoshiki.svg,700 x 700 mm,Cotton,,,Japan,,TBD,Quotation required,ギフト包装や日常使いに適した日本の風呂敷です。,Japanese furoshiki cloth suitable for gift wrapping and daily use.,Khăn furoshiki Nhật Bản phù hợp gói quà và sử dụng hằng ngày.,Gift / souvenir / lifestyle,Wash according to care label.,assets/pdf/lifestyle-catalog.pdf
LG-002,Japanese Lifestyle Goods,Textile,Tenugui,人気,no,手ぬぐい,Tenugui Japanese Towel,Khăn tenugui Nhật Bản,assets/images/life-tenugui.svg,350 x 900 mm,Cotton,,,Japan,,TBD,Quotation required,日本の伝統柄を楽しめる手ぬぐいです。,Traditional Japanese tenugui towel with classic patterns.,Khăn tenugui với họa tiết truyền thống Nhật Bản.,Souvenir / gift / lifestyle,Wash according to care label.,assets/pdf/lifestyle-catalog.pdf
LG-003,Japanese Lifestyle Goods,Glassware,Glass,新商品,yes,富士山グラス,Mt. Fuji Glass,Cốc thủy tinh họa tiết núi Phú Sĩ,assets/images/life-glass.svg,Capacity 250ml,Glass,,,Japan,,TBD,Quotation required,富士山をモチーフにしたギフト向けグラスです。,Gift-oriented glassware with a Mt. Fuji motif.,Cốc thủy tinh lấy cảm hứng từ núi Phú Sĩ phù hợp làm quà tặng.,Gift / premium retail / souvenir,Fragile item. Hand wash recommended.,assets/pdf/lifestyle-catalog.pdf
AB-001,Air Buster,Ozone Device,Deodorizer,Solution,yes,オゾン脱臭器 エアバスター,Air Buster Low-concentration Ozone Device,Máy khử mùi ozone nồng độ thấp Air Buster,assets/images/air-buster.svg,Model AB-001 / desktop type,Device,,,Japan,Manufacturer TBD,TBD,Quotation required,低濃度オゾンにより空間の臭い対策をサポートする機器です。,A low-concentration ozone device supporting odor control in indoor spaces.,Thiết bị ozone nồng độ thấp hỗ trợ khử mùi trong không gian trong nhà.,Office / school / care facility / hotel,Use according to manufacturer instructions and local regulations.,assets/pdf/airbuster-catalog.pdf
